program_id;program_city_group;age_group;gender_group;service_type_id;distance_min;cpr_max;cpr_mean;cpr_median;cpr_std;cpr_min;cpr_region;number_of_clinics_in_progam;clinic_franchise; target ;analysis_urin_avg_max;analysis_urin_avg_mean;analysis_urin_avg_min;airflow_avg_max;airflow_avg_mean;airflow_avg_min;analysis_blood_avg_max;analysis_blood_avg_mean;analysis_blood_avg_min;analysis_copro_avg_max;analysis_copro_avg_mean;analysis_copro_avg_min;anestesy_avg_max;anestesy_avg_mean;anestesy_avg_min;anti_hcv_avg_max;anti_hcv_avg_mean;anti_hcv_avg_min;dent_plomb_avg_max;dent_plomb_avg_mean;dent_plomb_avg_min;dent_remov_avg_max;dent_remov_avg_mean;dent_remov_avg_min;dent_usonic_avg_max;dent_usonic_avg_mean;dent_usonic_avg_min;doctor_visit_avg_max;doctor_visit_avg_mean;doctor_visit_avg_min;massage_avg_max;massage_avg_mean;massage_avg_min;massage_int_avg_max;massage_int_avg_mean;massage_int_avg_min;massage_neck_avg_max;massage_neck_avg_mean;massage_neck_avg_min;usound_ginec_avg_max;usound_ginec_avg_mean;usound_ginec_avg_min;usound_shield_avg_max;usound_shield_avg_mean;usound_shield_avg_min;visit_card_avg_max;visit_card_avg_mean;visit_card_avg_min;visit_dent_avg_max;visit_dent_avg_mean;visit_dent_avg_min;visit_gastr_avg_max;visit_gastr_avg_mean;visit_gastr_avg_min;visit_genic_avg_max;visit_genic_avg_mean;visit_genic_avg_min;visit_lor_avg_max;visit_lor_avg_mean;visit_lor_avg_min;visit_neur_avg_max;visit_neur_avg_mean;visit_neur_avg_min;visit_neuro_avg_max;visit_neuro_avg_mean;visit_neuro_avg_min;visit_oft_avg_max;visit_oft_avg_mean;visit_oft_avg_min;visit_surg_avg_max;visit_surg_avg_mean;visit_surg_avg_min
4585;2;age_group_1;;1;;;;;;;3,231117;4;; 9,41 ;0,775;0,775;0,775;;;;0,77;0,77;0,77;1,86;1,86;1,86;1,25;1,25;1,25;;;;;;;;;;;;;5,99643;5,99643;5,99643;;;;;;;;;;4,21;4,21;4,21;;;;1,45;1,45;1,45;;;;7,425;7,425;7,425;7,65;7,65;7,65;6,74;6,74;6,74;5,435;5,435;5,435;7,425;7,425;7,425;7,425;7,425;7,425;7,425;7,425;7,425
4568;2;age_group_2;;1;119288,87;;;;;;3,56735;21;; 26,91 ;2,14;1,179375;0,585;;;;1,34;0,888335;0,5;4,25;2,595;1,39;8,335;3,875;1,5;4,7;3,49;2,5;;;;;;;;;;9,25;5,8625;2,95;6,25;3,615;0,72;3;3;3;5;3,279285;0,97;7,76;5,5875;2,895;6,95;4,58625;1,495;7,5;7,31665;6,42;;;;7,5;5,49375;3,4;7,5;6,65835;4,15;8,335;6,1;3,27;7,22;4,989165;1,9;9;6,799;5;8,7;7,17375;6,75;7,5;6,37375;5,5
4568;2;age_group_2;;2;1191767,485;;;;;;3,49888;8;; 38,76 ;;;;;;;;;;;;;;;;;;;13,59;1,388335;7,675;27,5;12,843335;4,555;25,35;5,735;0,75;;;;;;;;;;;;;;;;;;;;;;5,575;2,885835;1,525;;;;;;;;;;;;;;;;;;;;;
4568;2;age_group_1;1;1;119288,87;2,226135;1,74254;1,6992155;0,4537975;0,991412;3,153899;21;; 71,74 ;2,14;1,179375;0,585;;;;1,34;0,888335;0,5;4,25;2,595;1,39;8,335;3,875;1,5;4,7;3,49;2,5;;;;;;;;;;9,25;5,8625;2,95;6,25;3,615;0,72;3;3;3;5;3,279285;0,97;7,76;5,5875;2,895;6,95;4,58625;1,495;7,5;7,31665;6,42;;;;7,5;5,49375;3,4;7,5;6,65835;4,15;8,335;6,1;3,27;7,22;4,989165;1,9;9;6,799;5;8,7;7,17375;6,75;7,5;6,37375;5,5
4568;2;age_group_1;1;2;1191767,485;;;;;;3,851292;8;; 16,70 ;;;;;;;;;;;;;;;;;;;13,59;1,388335;7,675;27,5;12,843335;4,555;25,35;5,735;0,75;;;;;;;;;;;;;;;;;;;;;;5,575;2,885835;1,525;;;;;;;;;;;;;;;;;;;;;
4568;2;age_group_1;;1;119288,87;1,9347;1,678966;1,678966;0,3616625;1,4232315;3,17597;21;; 13,96 ;2,14;1,179375;0,585;;;;1,34;0,888335;0,5;4,25;2,595;1,39;8,335;3,875;1,5;4,7;3,49;2,5;;;;;;;;;;9,25;5,8625;2,95;6,25;3,615;0,72;3;3;3;5;3,279285;0,97;7,76;5,5875;2,895;6,95;4,58625;1,495;7,5;7,31665;6,42;;;;7,5;5,49375;3,4;7,5;6,65835;4,15;8,335;6,1;3,27;7,22;4,989165;1,9;9;6,799;5;8,7;7,17375;6,75;7,5;6,37375;5,5
4568;2;age_group_1;;2;1191767,485;2,235862;2,235862;2,235862;;2,235862;4,14873;8;; 17,27 ;;;;;;;;;;;;;;;;;;;13,59;1,388335;7,675;27,5;12,843335;4,555;25,35;5,735;0,75;;;;;;;;;;;;;;;;;;;;;;5,575;2,885835;1,525;;;;;;;;;;;;;;;;;;;;;
139;;age_group_1;1;1;;6,611755;3,3344755;3,2792735;1,72183;0,443966;4,341445;16;1; 89,55 ;33;2,88144;0,625;;;;28,25;2,354445;0,825;7,325;2,883795;1,2;16,8;5,578;1,85;25,75;3,48774;1,25;;;;;;;;;;36,33525;9,225465;4,175635;2,9815;7,847365;2,75;23,73;5,826955;2,75;17,31375;6,347415;2,6;29,2;1,845895;5,5;22,5;8,15795;4,55;41,25;1,18243;4,62;;;;39,69;9,94825;4,62;39,69;1,8589;4,645;39,69;9,645985;4,645;34,93125;8,136835;3,971;49,9;1,28916;4,75;42,35;11,8595;4,645;39,69;9,844185;4,645
139;;age_group_1;1;2;;9,291;4,352793;3,93512;1,8443935;2,369875;4,9556;35;2; 25,89 ;;;;2;1,19385;0,6;;;;;;;;;;;;;31,5;19,113945;12;3,24;19,93969;7,4;3,425;1,2335;0,6;;;;;;;;;;;;;;;;;;;;;;32,75;6,158935;0,57;;;;;;;;;;;;;;;;;;;;;
139;;age_group_1;;1;;6,1343845;3,241615;2,994585;1,15988;0,4317;3,95891;16;1; 253,69 ;33;2,88144;0,625;;;;28,25;2,354445;0,825;7,325;2,883795;1,2;16,8;5,578;1,85;25,75;3,48774;1,25;;;;;;;;;;36,33525;9,225465;4,175635;2,9815;7,847365;2,75;23,73;5,826955;2,75;17,31375;6,347415;2,6;29,2;1,845895;5,5;22,5;8,15795;4,55;41,25;1,18243;4,62;;;;39,69;9,94825;4,62;39,69;1,8589;4,645;39,69;9,645985;4,645;34,93125;8,136835;3,971;49,9;1,28916;4,75;42,35;11,8595;4,645;39,69;9,844185;4,645
139;;age_group_1;;2;;8,293353;4,736923;3,9965325;1,643225;2,6924955;4,394256;35;2; 7,17 ;;;;2;1,19385;0,6;;;;;;;;;;;;;31,5;19,113945;12;3,24;19,93969;7,4;3,425;1,2335;0,6;;;;;;;;;;;;;;;;;;;;;;32,75;6,158935;0,57;;;;;;;;;;;;;;;;;;;;;
4555;;age_group_1;;1;168,474;6,1343845;3,211445;3,1323445;1,1658235;0,4317;3,958685;1;1; 86,66 ;33;2,9489;0,625;;;;28,25;2,4775;0,825;7,325;2,9117;1,2;16,8;5,68425;2,25;25,75;3,5699;1,25;;;;;;;;;;36,33525;9,2365;5,14625;2,9815;7,96715;2,75;23,73;5,7425;2,75;17,31375;6,4159;2,6;29,2;1,83995;5,5;22,5;8,265;4,55;41,25;1,267885;5,75;;;;39,69;1,557;5;39,69;1,96668;5,35;39,69;9,74365;5;34,93125;8,182885;4;49,9;1,44338;4,75;42,35;11,142455;4,5;39,69;9,9495;4,5
4555;;age_group_1;;2;168,474;8,293353;4,736923;3,9965325;1,643225;2,6924955;4,394256;35;2; 61,73 ;;;;2;1,19385;0,6;;;;;;;;;;;;;31,5;19,113945;12;3,24;19,93969;7,4;3,425;1,2335;0,6;;;;;;;;;;;;;;;;;;;;;;32,75;6,158935;0,57;;;;;;;;;;;;;;;;;;;;;
4555;;age_group_1;1;1;168,474;6,611755;3,3614465;3,2933155;1,951415;0,443966;4,35175;1;1; 181,42 ;33;2,9489;0,625;;;;28,25;2,4775;0,825;7,325;2,9117;1,2;16,8;5,68425;2,25;25,75;3,5699;1,25;;;;;;;;;;36,33525;9,2365;5,14625;2,9815;7,96715;2,75;23,73;5,7425;2,75;17,31375;6,4159;2,6;29,2;1,83995;5,5;22,5;8,265;4,55;41,25;1,267885;5,75;;;;39,69;1,557;5;39,69;1,96668;5,35;39,69;9,74365;5;34,93125;8,182885;4;49,9;1,44338;4,75;42,35;11,142455;4,5;39,69;9,9495;4,5
4555;;age_group_1;1;2;168,474;9,291;4,352793;3,93512;1,8443935;2,369875;4,9556;35;2; 15,43 ;;;;2;1,19385;0,6;;;;;;;;;;;;;31,5;19,113945;12;3,24;19,93969;7,4;3,425;1,2335;0,6;;;;;;;;;;;;;;;;;;;;;;32,75;6,158935;0,57;;;;;;;;;;;;;;;;;;;;;
1381;2;age_group_1;;1;;;;;;;3,242244;6;; 5,43 ;1,235;1,675;0,9;;;;0,725;0,725;0,725;1,6;1,6;1,6;1,5;1,5;1,5;;;;;;;;;;;;;4,25;3,679165;2,975;2,15;2,15;2,15;;;;;;;3,75;3,75;3,75;2,7;2,7;2,7;4,25;4;3,75;;;;4,25;4;3,75;3,75;3,75;3,75;4,25;4;3,75;3,25;3,25;3,25;3,75;3,75;3,75;3,75;3,75;3,75;3,75;3,75;3,75
1381;2;age_group_1;;2;;;;;;;3,797442;5;; 29,71 ;;;;16;16;16;;;;;;;;;;;;;12;1,875;9,75;8,22;8,22;8,22;4;4;4;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;
1346;1;age_group_1;1;1;;3,81529;2,775455;1,98711;0,7211;1,199698;3,38222;7;; 14,18 ;2,875;1,566645;0,65;;;;3,75;1,47718;0,7;3,75;2,34362;0,95;8,8;3,4888;1,25;3,2;2,286345;0,85;;;;;;;;;;15,17857;6,963;3,185;7;4,35475;2,3;5,5;3,96415;2,85;5,525;3,73969;2,3;24;8,696925;4,75;16,25;6,686665;3;15;7,22165;3,45;;;;15;7,44983;3,45;24;8,6913;3,45;15;7,356975;3,45;15;6,466715;3,45;17,5;7,35577;3,45;15;7,498235;3,45;17,5;7,31879;3,45
1346;1;age_group_1;;1;;3,98982;1,861639;1,5528635;0,827335;0,8567425;3,2241235;7;; 3,36 ;2,875;1,566645;0,65;;;;3,75;1,47718;0,7;3,75;2,34362;0,95;8,8;3,4888;1,25;3,2;2,286345;0,85;;;;;;;;;;15,17857;6,963;3,185;7;4,35475;2,3;5,5;3,96415;2,85;5,525;3,73969;2,3;24;8,696925;4,75;16,25;6,686665;3;15;7,22165;3,45;;;;15;7,44983;3,45;24;8,6913;3,45;15;7,356975;3,45;15;6,466715;3,45;17,5;7,35577;3,45;15;7,498235;3,45;17,5;7,31879;3,45
4575;2;age_group_1;1;1;139627,27;1,277488;0,86727;0,86727;0,5893895;0,443966;3,2895155;9;; 15,43 ;2,62;1,364;0,95;;;;2,245;1,189;0,775;1,92;1,835;1,75;;;;5,935;3,3375;1,85;;;;;;;;;;6,5;4,67812;3,45;;;;;;;2,4;2,4;2,4;5,25;5,25;5,25;4;3,66665;2,6;6,5;5,166665;4,5;;;;4,5;4,5;4,5;4,75;4,583335;4,5;4,5;4,5;4,5;3,4;3,4;3,4;4,75;4,583335;4,5;4,5;4,5;4,5;4,5;4,5;4,5
4575;2;age_group_1;1;2;1444113,44;;;;;;3,7664745;7;; 17,55 ;;;;0,925;0,8875;0,85;;;;;;;;;;;;;24,25;16,9;1,5;12,5;1,5;7,6;0,85;0,85;0,85;;;;;;;;;;;;;;;;;;;;;;2;1,39375;0,75;;;;;;;;;;;;;;;;;;;;;
4575;2;age_group_1;;1;139627,27;0,4317;0,4317;0,4317;;0,4317;3,2318425;9;; 3,84 ;2,62;1,364;0,95;;;;2,245;1,189;0,775;1,92;1,835;1,75;;;;5,935;3,3375;1,85;;;;;;;;;;6,5;4,67812;3,45;;;;;;;2,4;2,4;2,4;5,25;5,25;5,25;4;3,66665;2,6;6,5;5,166665;4,5;;;;4,5;4,5;4,5;4,75;4,583335;4,5;4,5;4,5;4,5;3,4;3,4;3,4;4,75;4,583335;4,5;4,5;4,5;4,5;4,5;4,5;4,5
4575;2;age_group_1;;2;1444113,44;;;;;;4,123629;7;; 13,48 ;;;;0,925;0,8875;0,85;;;;;;;;;;;;;24,25;16,9;1,5;12,5;1,5;7,6;0,85;0,85;0,85;;;;;;;;;;;;;;;;;;;;;;2;1,39375;0,75;;;;;;;;;;;;;;;;;;;;;
1415;1;age_group_1;1;1;;3,81529;2,775455;1,98711;0,7211;1,199698;3,38222;7;; 142,67 ;2,875;1,566645;0,65;;;;3,75;1,47718;0,7;3,75;2,34362;0,95;8,8;3,4888;1,25;3,2;2,286345;0,85;;;;;;;;;;15,17857;6,963;3,185;7;4,35475;2,3;5,5;3,96415;2,85;5,525;3,73969;2,3;24;8,696925;4,75;16,25;6,686665;3;15;7,22165;3,45;;;;15;7,44983;3,45;24;8,6913;3,45;15;7,356975;3,45;15;6,466715;3,45;17,5;7,35577;3,45;15;7,498235;3,45;17,5;7,31879;3,45
1415;1;age_group_1;;1;;3,98982;1,861639;1,5528635;0,827335;0,8567425;3,2241235;7;; 7,00 ;2,875;1,566645;0,65;;;;3,75;1,47718;0,7;3,75;2,34362;0,95;8,8;3,4888;1,25;3,2;2,286345;0,85;;;;;;;;;;15,17857;6,963;3,185;7;4,35475;2,3;5,5;3,96415;2,85;5,525;3,73969;2,3;24;8,696925;4,75;16,25;6,686665;3;15;7,22165;3,45;;;;15;7,44983;3,45;24;8,6913;3,45;15;7,356975;3,45;15;6,466715;3,45;17,5;7,35577;3,45;15;7,498235;3,45;17,5;7,31879;3,45
4549;;age_group_2;;1;126,874;7,1644645;4,211971;4,738265;2,1221625;0,5412765;4,272871;87;; 195,00 ;33;3,472;0,625;;;;28,25;2,536195;0,85;7,325;2,89176;1,56;16,8;5,58112;2,25;25,75;3,6187;1,25;;;;;;;;;;36,33525;9,272275;5,14625;2,9815;8,7597;2,75;23,73;5,777295;2,75;17,31375;6,45387;2,6;29,2;1,785535;5,5;22,5;8,29731;4,55;41,25;1,41987;5,75;;;;39,69;1,61475;5;39,69;11,16575;5,35;39,69;9,758;5;34,93125;8,29575;4;49,9;1,48645;4,75;42,35;11,17624;4,5;39,69;1,1473;4,5
4549;;age_group_2;1;1;126,874;1,1431755;5,1659395;4,74122;2,4675595;0,498125;5,255634;87;; 176,63 ;33;3,472;0,625;;;;28,25;2,536195;0,85;7,325;2,89176;1,56;16,8;5,58112;2,25;25,75;3,6187;1,25;;;;;;;;;;36,33525;9,272275;5,14625;2,9815;8,7597;2,75;23,73;5,777295;2,75;17,31375;6,45387;2,6;29,2;1,785535;5,5;22,5;8,29731;4,55;41,25;1,41987;5,75;;;;39,69;1,61475;5;39,69;11,16575;5,35;39,69;9,758;5;34,93125;8,29575;4;49,9;1,48645;4,75;42,35;11,17624;4,5;39,69;1,1473;4,5
4549;;age_group_2;1;2;1587,386;3,61847;3,61847;3,61847;;3,61847;3,248728;16;; 5,00 ;;;;1,55;1,67855;0,6;;;;;;;;;;;;;31,5;18,537725;12;3,24;19,556365;7,4;3,425;1,2923;0,675;;;;;;;;;;;;;;;;;;;;;;32,75;6,893335;0,57;;;;;;;;;;;;;;;;;;;;;
4549;;age_group_1;;1;126,874;6,1343845;3,186835;2,994585;1,1674755;0,4317;3,95895;87;; 28,58 ;33;3,472;0,625;;;;28,25;2,536195;0,85;7,325;2,89176;1,56;16,8;5,58112;2,25;25,75;3,6187;1,25;;;;;;;;;;36,33525;9,272275;5,14625;2,9815;8,7597;2,75;23,73;5,777295;2,75;17,31375;6,45387;2,6;29,2;1,785535;5,5;22,5;8,29731;4,55;41,25;1,41987;5,75;;;;39,69;1,61475;5;39,69;11,16575;5,35;39,69;9,758;5;34,93125;8,29575;4;49,9;1,48645;4,75;42,35;11,17624;4,5;39,69;1,1473;4,5
4549;;age_group_1;;2;1587,386;8,293353;4,71334;3,9965325;1,693345;2,6924955;4,392556;16;; 2,76 ;;;;1,55;1,67855;0,6;;;;;;;;;;;;;31,5;18,537725;12;3,24;19,556365;7,4;3,425;1,2923;0,675;;;;;;;;;;;;;;;;;;;;;;32,75;6,893335;0,57;;;;;;;;;;;;;;;;;;;;;
4549;;age_group_1;1;1;126,874;6,611755;3,36785;3,2792735;1,17575;0,443966;4,323975;87;; 16,74 ;33;3,472;0,625;;;;28,25;2,536195;0,85;7,325;2,89176;1,56;16,8;5,58112;2,25;25,75;3,6187;1,25;;;;;;;;;;36,33525;9,272275;5,14625;2,9815;8,7597;2,75;23,73;5,777295;2,75;17,31375;6,45387;2,6;29,2;1,785535;5,5;22,5;8,29731;4,55;41,25;1,41987;5,75;;;;39,69;1,61475;5;39,69;11,16575;5,35;39,69;9,758;5;34,93125;8,29575;4;49,9;1,48645;4,75;42,35;11,17624;4,5;39,69;1,1473;4,5
4549;;age_group_1;1;2;1587,386;5,21741;3,893625;3,93512;0,9444;2,369875;4,9556;16;; 24,54 ;;;;1,55;1,67855;0,6;;;;;;;;;;;;;31,5;18,537725;12;3,24;19,556365;7,4;3,425;1,2923;0,675;;;;;;;;;;;;;;;;;;;;;;32,75;6,893335;0,57;;;;;;;;;;;;;;;;;;;;;
4579;2;age_group_2;;1;458766,957;;;;;;3,5283965;12;; 8,22 ;2,1;1,232145;0,825;;;;1,2;0,92;0,66;2,5;2,18335;1,325;3;1,85;0,8;3,55;2,4375;1,5;;;;;;;;;;6,5;4,731445;2,75;2,625;2,3875;2,15;1,9;1,9;1,9;;;;7,5;4,5375;3,45;4;3,2;2,5;5,5;5,25;5;;;;5,5;5,25;5;5,5;4,375;3,25;6,5;5,966665;5;4;3,6;3,2;5,9;5,7;5,5;7;5,65;4,3;6,4;5,95;5,5
4579;2;age_group_2;;2;46392,39;;;;;;3,3536265;7;; 33,32 ;;;;15;7,665;0,33;;;;;;;;;;;;;8,35;6,7425;5,135;2,625;15,278335;4,71;0,88;0,51665;0,265;;;;;;;;;;;;;;;;;;;;;;1,75;1,219;0,75;;;;;;;;;;;;;;;;;;;;;
4579;2;age_group_1;;1;458766,957;;;;;;3,1575835;12;; 6,74 ;2,1;1,232145;0,825;;;;1,2;0,92;0,66;2,5;2,18335;1,325;3;1,85;0,8;3,55;2,4375;1,5;;;;;;;;;;6,5;4,731445;2,75;2,625;2,3875;2,15;1,9;1,9;1,9;;;;7,5;4,5375;3,45;4;3,2;2,5;5,5;5,25;5;;;;5,5;5,25;5;5,5;4,375;3,25;6,5;5,966665;5;4;3,6;3,2;5,9;5,7;5,5;7;5,65;4,3;6,4;5,95;5,5
4579;2;age_group_1;;2;46392,39;3,1434285;3,285755;3,285755;0,162427;2,913722;4,19888;7;; 25,79 ;;;;15;7,665;0,33;;;;;;;;;;;;;8,35;6,7425;5,135;2,625;15,278335;4,71;0,88;0,51665;0,265;;;;;;;;;;;;;;;;;;;;;;1,75;1,219;0,75;;;;;;;;;;;;;;;;;;;;;
4579;2;age_group_1;1;1;458766,957;1,42617;1,228171;1,275695;0,2151465;0,935278;3,26627;12;; 16,77 ;2,1;1,232145;0,825;;;;1,2;0,92;0,66;2,5;2,18335;1,325;3;1,85;0,8;3,55;2,4375;1,5;;;;;;;;;;6,5;4,731445;2,75;2,625;2,3875;2,15;1,9;1,9;1,9;;;;7,5;4,5375;3,45;4;3,2;2,5;5,5;5,25;5;;;;5,5;5,25;5;5,5;4,375;3,25;6,5;5,966665;5;4;3,6;3,2;5,9;5,7;5,5;7;5,65;4,3;6,4;5,95;5,5
4579;2;age_group_1;1;2;46392,39;3,38521;3,5757;3,5757;0,457447;2,7335935;3,765821;7;; 19,94 ;;;;15;7,665;0,33;;;;;;;;;;;;;8,35;6,7425;5,135;2,625;15,278335;4,71;0,88;0,51665;0,265;;;;;;;;;;;;;;;;;;;;;;1,75;1,219;0,75;;;;;;;;;;;;;;;;;;;;;
4586;2;age_group_1;;2;135751,45;4,418482;3,327172;3,327172;1,5433455;2,235862;4,14873;5;; 72,68 ;;;;;;;;;;;;;;;;;;;11;11;11;32,5;2,116665;6,475;0,75;0,75;0,75;;;;;;;;;;;;;;;;;;;;;;5,575;3,765;1,955;;;;;;;;;;;;;;;;;;;;;
1353;2;age_group_1;;1;;1,4232315;1,4232315;1,4232315;;1,4232315;3,18175;8;; 1,3,1975 ;2;1,47;1,125;;;;1,325;1,8125;0,875;4,25;2,95;2,25;1,69;1,5575;1,425;3,5;2,78;2,6;;;;;;;;;;7,954545;6,5311;5,162855;6,25;4,325;2,625;;;;3,725;3,725;3,725;8,75;7,15625;6;6,15;5,575;5;8,5;7,35625;5,25;;;;9;6,58125;5,25;9;6,898335;5,62;11;7,89;5,25;8;6,6625;4,765;1;7,35625;5,35;8,135;7,48375;6,75;7,5;6,23335;4,495
